,d,k,l,level,Min,Moves
59,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
60,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
61,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
62,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
63,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
64,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
65,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
66,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
67,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
68,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
69,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
70,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
71,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
72,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
73,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
74,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
75,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
76,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
77,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
78,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
79,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
80,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
81,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
82,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
83,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
84,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
85,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
86,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
